Test,,,,
Product,SerialNumber,data,DeltaTHD1kHZ,Raw Sen
Display Name ----->,,N/A,N/A,N/A
PDCA Priority ----->,,N/A,N/A,N/A
Upper Limit ----->
,,0,0.6,N/A
Lower Limit ----->,,-5.25,N/A,N/A
Measurement Unit ----->,,dBRe1,%,dBre1
,0,903.734E-3,526.379E-3,26.288E-3
,1,849.084E-3,278.319E-3,248.475E-3
,2,134.375E-3,694.055E-3,942.068E-3
,3,549.668E-3,418.821E-3,929.785E-3
,4,780.910E-3,553.113E-3,805.416E-3
,5,922.451E-3,180.710E-3,888.670E-3
,6,489.375E-3,318.602E-3,489.913E-3
,7,88.933E-3,819.164E-3,88.152E-3
,8,805.754E-3,164.975E-3,144.047E-3
,9,256.914E-3,872.748E-3,973.071E-3
